ID,commune_ID,localite,localite_ID,source
325,10402,zomo,bureau_10402023,voting_lists
326,10402,oufen,bureau_10402024,voting_lists
327,10402,oufen,bureau_10402025,voting_lists
328,10402,assodei,bureau_10402026,voting_lists
329,10402,injiran et takarkawat,bureau_10402027,voting_lists
330,10402,intaye,bureau_10402028,voting_lists
331,10402,teghazart,bureau_10402029,voting_lists
332,10402,aritawa 1,bureau_10402030,voting_lists
333,10402,iboul,bureau_10402031,voting_lists
334,10402,tewat,bureau_10402032,voting_lists
335,10402,tewat,bureau_10402033,voting_lists
336,10402,intadeine,bureau_10402034,voting_lists
337,10402,gabarat,bureau_10402035,voting_lists
338,10402,tchin wanil,bureau_10402036,voting_lists
339,10402,matalass,bureau_10402037,voting_lists
340,10402,teguert,bureau_10402038,voting_lists
341,10402,annou waytaran,bureau_10402039,voting_lists
342,10402,tekanassar,bureau_10402040,voting_lists
343,10402,tola,bureau_10402041,voting_lists
344,10402,tagherist et tagougamat,bureau_10402042,voting_lists
345,10402,toussouf,bureau_10402043,voting_lists
346,10501,assamaka,bureau_10501001,voting_lists
347,10501,inabangarett,bureau_10501002,voting_lists
348,10501,azelik,bureau_10501003,voting_lists
349,10501,tigart,bureau_10501004,voting_lists
350,10501,akinzigui,bureau_10501005,voting_lists
351,10501,amantadante,bureau_10501006,voting_lists
352,10501,dabla,bureau_10501007,voting_lists
353,10501,fagochia,bureau_10501008,voting_lists
354,10501,tiguida n'tessoum,bureau_10501009,voting_lists
355,10501,igaranesalofnene,bureau_10501010,voting_lists
356,10501,inwazab,bureau_10501011,voting_lists
357,10501,tchiwakirwi,bureau_10501012,voting_lists
358,10501,aboye,bureau_10501013,voting_lists
359,10501,tiblelik,bureau_10501014,voting_lists
360,10501,injitane,bureau_10501015,voting_lists
361,10501,tiguinde,bureau_10501016,voting_lists
362,10501,tabakate,bureau_10501017,voting_lists
363,10501,tiguida n'adrar,bureau_10501018,voting_lists
364,10501,assaouass,bureau_10501019,voting_lists
365,10501,tabardaq,bureau_10501020,voting_lists
366,10501,tilbay,bureau_10501021,voting_lists
367,10501,takoukoute /ingall,bureau_10501022,voting_lists
368,10501,tchimmaghayane,bureau_10501023,voting_lists
369,10501,kokari,bureau_10501024,voting_lists
370,10501,agareygarey,bureau_10501025,voting_lists
371,10501,kirnache,bureau_10501026,voting_lists
372,10501,tadniss,bureau_10501027,voting_lists
373,10501,foudouk,bureau_10501028,voting_lists
374,10501,taguirwitt1,bureau_10501029,voting_lists
375,10501,teyiss,bureau_10501030,voting_lists
376,10501,izerane,bureau_10501031,voting_lists
377,10501,injigrane,bureau_10501032,voting_lists
378,10501,mararaba,bureau_10501033,voting_lists
379,10501,bitwil,bureau_10501034,voting_lists
380,10501,izalagazane,bureau_10501035,voting_lists
381,10501,aghabarghabar,bureau_10501036,voting_lists
382,10501,sabon gari,bureau_10501037,voting_lists
383,10501,alakat,bureau_10501038,voting_lists
384,10501,martaba,bureau_10501039,voting_lists
385,10501,roudoualbarka,bureau_10501040,voting_lists
386,10501,innazibiziguine,bureau_10501041,voting_lists
387,10501,assakamor,bureau_10501042,voting_lists
388,10501,tekinziguit,bureau_10501043,voting_lists
389,10501,touroufamanzagaghnene,bureau_10501044,voting_lists
390,10501,touroufattayoub,bureau_10501045,voting_lists
391,10501,mazababou,bureau_10501046,voting_lists
392,10501,doda,bureau_10501047,voting_lists
393,10501,kouttou,bureau_10501048,voting_lists
394,10501,zarambobi,bureau_10501049,voting_lists
395,10501,azemosse,bureau_10501050,voting_lists
396,10501,boudboudane,bureau_10501051,voting_lists
397,10501,gani,bureau_10501052,voting_lists
398,10501,tchinsakane,bureau_10501053,voting_lists
399,10501,kitinfiri,bureau_10501054,voting_lists
400,10501,tabhaout,bureau_10501055,voting_lists
401,10501,taghatchirt,bureau_10501056,voting_lists
402,10501,sabon gari1,bureau_10501057,voting_lists
403,10501,quartier administratif,bureau_10501058,voting_lists
404,10501,agafey,bureau_10501059,voting_lists
405,10501,alkoubla1,bureau_10501060,voting_lists
406,10501,alkoubla2,bureau_10501061,voting_lists
407,10501,toudou1,bureau_10501062,voting_lists
408,10501,toudou2,bureau_10501063,voting_lists
409,10501,ebrik,bureau_10501064,voting_lists
410,10501,attaram1,bureau_10501065,voting_lists
411,10501,attaram2,bureau_10501066,voting_lists
412,10501,itirmane,bureau_10501067,voting_lists
413,10501,afounouk,bureau_10501068,voting_lists
