"ID","commune_ID","localite","localite_ID","source","ID","commune_ID","localite","localite_ID","source"
"153","10201","zango","RENALOC_153","RENALOC","97","10201","zango a","bureau_10201008","voting_lists"
"154","10201","sahel","RENALOC_154","RENALOC","95","10201","sahel a","bureau_10201006","voting_lists"
"155","10201","wadata","RENALOC_155","RENALOC","100","10201","wadata a","bureau_10201011","voting_lists"
"156","10201","carre nouveau marche","RENALOC_156","RENALOC","108","10201","carre nouveau marche a","bureau_10201019","voting_lists"
"156","10201","carre nouveau marche","RENALOC_156","RENALOC","109","10201","carre nouveau marche b","bureau_10201020","voting_lists"
"156","10201","carre nouveau marche","RENALOC_156","RENALOC","110","10201","carre nouveau marche c","bureau_10201021","voting_lists"
"156","10201","carre nouveau marche","RENALOC_156","RENALOC","111","10201","carre nouveau marche d","bureau_10201022","voting_lists"
"156","10201","carre nouveau marche","RENALOC_156","RENALOC","112","10201","carre nouveau marche e","bureau_10201023","voting_lists"
"157","10201","carre sntn","RENALOC_157","RENALOC","103","10201","carre sntn a","bureau_10201014","voting_lists"
"157","10201","carre sntn","RENALOC_157","RENALOC","104","10201","carre sntn b","bureau_10201015","voting_lists"
"157","10201","carre sntn","RENALOC_157","RENALOC","105","10201","carre sntn c","bureau_10201016","voting_lists"
"157","10201","carre sntn","RENALOC_157","RENALOC","106","10201","carre sntn d","bureau_10201017","voting_lists"
"157","10201","carre sntn","RENALOC_157","RENALOC","107","10201","carre sntn e","bureau_10201018","voting_lists"
"158","10201","boukoki i","RENALOC_158","RENALOC","113","10201","boukoki 1 a","bureau_10201024","voting_lists"
"158","10201","boukoki i","RENALOC_158","RENALOC","123","10201","boukoki 2 a","bureau_10201034","voting_lists"
"158","10201","boukoki i","RENALOC_158","RENALOC","127","10201","boukoki 2 e","bureau_10201038","voting_lists"
"158","10201","boukoki i","RENALOC_158","RENALOC","130","10201","boukoki 2 h","bureau_10201041","voting_lists"
"158","10201","boukoki i","RENALOC_158","RENALOC","131","10201","boukoki 2 i","bureau_10201042","voting_lists"
"159","10201","cite cominak (cite akokan)","RENALOC_159","RENALOC","138","10201","cite cominak a","bureau_10201049","voting_lists"
"159","10201","cite cominak (cite akokan)","RENALOC_159","RENALOC","139","10201","cite cominak b","bureau_10201050","voting_lists"
"160","10201","tchetcheni","RENALOC_160","RENALOC","147","10201","tchetcheni a","bureau_10201058","voting_lists"
"161","10201","akokan carre b (birni)","RENALOC_161","RENALOC","140","10201","akokan carere a 1","bureau_10201051","voting_lists"
"161","10201","akokan carre b (birni)","RENALOC_161","RENALOC","141","10201","akokan carre a 2","bureau_10201052","voting_lists"
"161","10201","akokan carre b (birni)","RENALOC_161","RENALOC","142","10201","akokan carre b 1","bureau_10201053","voting_lists"
"161","10201","akokan carre b (birni)","RENALOC_161","RENALOC","143","10201","akokan carre b2","bureau_10201054","voting_lists"
"161","10201","akokan carre b (birni)","RENALOC_161","RENALOC","144","10201","akokan carre c1","bureau_10201055","voting_lists"
"161","10201","akokan carre b (birni)","RENALOC_161","RENALOC","145","10201","akokan carre c2","bureau_10201056","voting_lists"
"161","10201","akokan carre b (birni)","RENALOC_161","RENALOC","146","10201","akokan carre c3","bureau_10201057","voting_lists"
"162","10201","akokan carre a","RENALOC_162","RENALOC","140","10201","akokan carere a 1","bureau_10201051","voting_lists"
"162","10201","akokan carre a","RENALOC_162","RENALOC","141","10201","akokan carre a 2","bureau_10201052","voting_lists"
"162","10201","akokan carre a","RENALOC_162","RENALOC","142","10201","akokan carre b 1","bureau_10201053","voting_lists"
"162","10201","akokan carre a","RENALOC_162","RENALOC","143","10201","akokan carre b2","bureau_10201054","voting_lists"
"162","10201","akokan carre a","RENALOC_162","RENALOC","144","10201","akokan carre c1","bureau_10201055","voting_lists"
"162","10201","akokan carre a","RENALOC_162","RENALOC","145","10201","akokan carre c2","bureau_10201056","voting_lists"
"162","10201","akokan carre a","RENALOC_162","RENALOC","146","10201","akokan carre c3","bureau_10201057","voting_lists"
"163","10201","akokan carre a","RENALOC_163","RENALOC","140","10201","akokan carere a 1","bureau_10201051","voting_lists"
"163","10201","akokan carre a","RENALOC_163","RENALOC","141","10201","akokan carre a 2","bureau_10201052","voting_lists"
"163","10201","akokan carre a","RENALOC_163","RENALOC","142","10201","akokan carre b 1","bureau_10201053","voting_lists"
"163","10201","akokan carre a","RENALOC_163","RENALOC","143","10201","akokan carre b2","bureau_10201054","voting_lists"
"163","10201","akokan carre a","RENALOC_163","RENALOC","144","10201","akokan carre c1","bureau_10201055","voting_lists"
"163","10201","akokan carre a","RENALOC_163","RENALOC","145","10201","akokan carre c2","bureau_10201056","voting_lists"
"163","10201","akokan carre a","RENALOC_163","RENALOC","146","10201","akokan carre c3","bureau_10201057","voting_lists"
"164","10201","akokan carre c (madina)","RENALOC_164","RENALOC","140","10201","akokan carere a 1","bureau_10201051","voting_lists"
"164","10201","akokan carre c (madina)","RENALOC_164","RENALOC","141","10201","akokan carre a 2","bureau_10201052","voting_lists"
"164","10201","akokan carre c (madina)","RENALOC_164","RENALOC","142","10201","akokan carre b 1","bureau_10201053","voting_lists"
"164","10201","akokan carre c (madina)","RENALOC_164","RENALOC","143","10201","akokan carre b2","bureau_10201054","voting_lists"
"164","10201","akokan carre c (madina)","RENALOC_164","RENALOC","144","10201","akokan carre c1","bureau_10201055","voting_lists"
