"ID","commune_ID","localite","localite_ID","source","ID","commune_ID","localite","localite_ID","source"
"246","10501","mazababou (ecole)","RENACOM_246","RENACOM","391","10501","mazababou","bureau_10501046","voting_lists"
"252","10501","assouman ecole","RENACOM_252","RENACOM","432","10501","assoumane1","bureau_10501087","voting_lists"
"252","10501","assouman ecole","RENACOM_252","RENACOM","433","10501","assoumane2","bureau_10501088","voting_lists"
"253","10501","makankan ii","RENACOM_253","RENACOM","419","10501","makankane","bureau_10501074","voting_lists"
"254","10501","tarazeina","RENACOM_254","RENACOM","416","10501","tarazeyna","bureau_10501071","voting_lists"
"256","10501","aborak","RENACOM_256","RENACOM","450","10501","aborak","bureau_10501105","voting_lists"
"257","10501","agabargabar","RENACOM_257","RENACOM","381","10501","aghabarghabar","bureau_10501036","voting_lists"
"262","10501","tidekal","RENACOM_262","RENACOM","459","10501","tidekelt","bureau_10501114","voting_lists"
"263","10501","agaya","RENACOM_263","RENACOM","427","10501","agaya1","bureau_10501082","voting_lists"
"263","10501","agaya","RENACOM_263","RENACOM","468","10501","agaya2","bureau_10501123","voting_lists"
"265","10501","tigue dan tessoum","RENACOM_265","RENACOM","354","10501","tiguida n'tessoum","bureau_10501009","voting_lists"
"266","10501","lazarag","RENACOM_266","RENACOM","456","10501","lazrak","bureau_10501111","voting_lists"
"270","10501","tagadamat","RENACOM_270","RENACOM","437","10501","tagadamat","bureau_10501092","voting_lists"
"271","10501","injitan","RENACOM_271","RENACOM","360","10501","injitane","bureau_10501015","voting_lists"
"274","10501","tiguidan nadrar","RENACOM_274","RENACOM","363","10501","tiguida n'adrar","bureau_10501018","voting_lists"
"275","10501","tiguinde","RENACOM_275","RENACOM","361","10501","tiguinde","bureau_10501016","voting_lists"
"279","10501","faghochia","RENACOM_279","RENACOM","353","10501","fagochia","bureau_10501008","voting_lists"
"281","10501","afounouk","RENACOM_281","RENACOM","413","10501","afounouk","bureau_10501068","voting_lists"
"282","10501","injigran","RENACOM_282","RENACOM","377","10501","injigrane","bureau_10501032","voting_lists"
